Column1,sora,aya,text,tafseer,emlaey
10,2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"3 - 4 - الذين يؤمنون بالغيب وهو كل ما لا يُدرك بالحواس وغاب عنّا، مما أخبر الله عنه أو أخبر عنه رسوله، كاليوم الآخر، وهم الذين يقيمون الصلاة بأدائها وفق ما شرع الله من شروطها، وأركانها، وواجباتها، وسننها، وهم الذين ينفقون مما رزقهم الله، بإخراج الواجب كالزكاة، أو غير الواجب كصدقة التطوع؛ رجاء ثواب الله، وهم الذين يؤمنون بالوحي الذي أنزل الله عليك - أيها النبي - والذي أنزل على سائر الأنبياء عليهم السلام من قبلك دون تفريق، وهم الذين يؤمنون إيمانًا جازمًا بالآخرة وما فيها من الثواب والعقاب.",والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخرة هم يوقنون
11,2,5,أُوْلَـٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَـٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,"هؤلاء المُتَّصِفون بهذه الصفات على تَمكُّنٍ من طريق الهداية، وهم الفائزون في الدنيا والآخرة بنَيلهم ما يرجون ونجاتهم مما يخافون.",اولئك على هدى من ربهم واولئك هم المفلحون
12,2,6,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"إن الذين حقت عليهم كلمة الله بعدم الإيمان مستمرون على ضلالهم وعنادهم، فإنذارك لهم وعدمه سواء.",ان الذين كفروا سواء عليهم اانذرتهم ام لم تنذرهم لا يؤمنون
13,2,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,"لأن الله طبع على قلوبهم فأغلقها على ما فيها من باطل، وطبع على سمعهم فلا يسمعون الحق سماع قَبول وانقياد، وجعل على أبصارهم غطاء فلا يبصرون الحق مع وضوحه، ولهم في الآخرة عذاب عظيم.",ختم الله على قلوبهم وعلى سمعهم وعلى ابصارهم غشاوة ولهم عذاب عظيم
14,2,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"ومن الناس طائفة يزعمون أنهم مؤمنون، يقولون ذلك بألسنتهم خوفًا على دمائهم وأموالهم، وهم في الباطن كافرون.",ومن الناس من يقول امنا بالله وباليوم الاخر وما هم بمؤمنين
15,2,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,"يعتقدون بجهلهم أنهم يخدعون الله والمؤمنين بإظهار الإيمان وإبطان الكفر، ولكنهم لا يشعرون بذلك؛ لأن الله تعالى يعلم السر وأخفى، وقد أَطْلَع المؤمنين على صفاتهم وأحوالهم.",يخادعون الله والذين امنوا وما يخدعون الا انفسهم وما يشعرون
16,2,10,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,"والسبب أن في قلوبهم شكًّا، فزادهم الله شكًّا إلى شكِّهم، والجزاء من جنس العمل، ولهم عذاب أليم في الدرك الأسفل من النار، بسبب كذبهم على الله وعلى الناس، وتكذيبهم بما جاء به محمد صلى الله عليه وسلم.",في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون
17,2,11,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,"وإذا نُهوا عن الإفساد في الأرض بالكفر والذنوب وغيرها، أنكروا وزعموا أنهم هم أصحاب الصلاح والإصلاح.",واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون
18,2,12,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,"والحقيقة أنهم هم أصحاب الإفساد، ولكنهم لا يشعرون بذلك، ولا يشعرون أن فعلهم عين الفساد.",الا انهم هم المفسدون ولكن لا يشعرون
19,2,13,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,"وإذا أُمروا بالإيمان كما آمن أصحاب محمد صلى الله عليه وسلم؛ أجابوا على سبيل الاستنكار والاستهزاء بقولهم: أنؤمن كإيمان خِفافِ العقول؟! والحق أنهم هم السفهاء، ولكنهم يجهلون ذلك.",واذا قيل لهم امنوا كما امن الناس قالوا انؤمن كما امن السفهاء الا انهم هم السفهاء ولكن لا يعلمون
20,2,14,وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,"وإذا التقوا المؤمنين قالوا: صدَّقنا بما تؤمنون به؛ يقولون ذلك خوفًا من المؤمنين، وإذا انصرفوا عن المؤمنين إلى رؤسائهم منفردين بهم، قالوا مؤكدين ثباتهم على متابعتهم لهم: إنا معكم على طريقتكم، ولكنا نوافق المؤمنين ظاهرًا سخرية بهم واستهزاءً.",واذا لقوا الذين امنوا قالوا امنا واذا خلوا الى شياطينهم قالوا انا معكم انما نحن مستهزئون
21,2,15,ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,"الله يستهزئ بهم في مقابلة استهزائهم بالمؤمنين، جزاءً لهم من جنس عملهم، ولهذا أجرى لهم أحكام المسلمين في الدنيا، وأما في الآخرة فيجازيهم على كفرهم ونفاقهم، وكذلك يمهلهم ليتمادوا في ضلالهم وطغيانهم، فيبقوا حائرين مترددين.",الله يستهزئ بهم ويمدهم في طغيانهم يعمهون
22,2,16,أُوْلَـٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ,"أولئك المنافقون الموصوفون بتلك الصفات هم الذين استبدلوا الكفر بالإيمان، فما ربحت تجارتهم؛ لخسارتهم الإيمان بالله، وما كانوا مهتدين إلى الحق.",اولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين
23,2,17,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِي ظُلُمَٰتٖ لَّا يُبۡصِرُونَ,"ضرب الله لهؤلاء المنافقين مثلين: مثلًا ناريًّا، ومثلًا مائيًّا، فأما مثلهم الناري: فهم كمثل من أوقد نارًا ليستضيء بها، فلما سطع نورها وظن أنه ينتفع بضوئها خمدت، فذهب ما فيها من إشراق، وبقي ما فيها من إحراق، فبقي أصحابها في ظلمات لا يرون شيئًا، ولا يهتدون سبيلًا.",مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
24,2,18,صُمُّۢ بُكۡمٌ عُمۡيٞ فَهُمۡ لَا يَرۡجِعُونَ,"فهم صمٌّ لا يسمعون الحق سماع قبول، بُكْمٌ لا ينطقون به، عمي عن إبصاره، فلا يرجعون عن ضلالهم.",صم بكم عمي فهم لا يرجعون
25,2,19,أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ يَجۡعَلُونَ أَصَٰبِعَهُمۡ فِيٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِيطُۢ بِٱلۡكَٰفِرِينَ,"وأما مثلهم المائي: فهم كمثل مطر كثير، من سحاب فيه ظلمات متراكمة ورعد وبرق، نزل على قوم فأصابهم ذعر شديد، فجعلوا يسدُّون آذانهم بأطراف أصابعهم، من شدة صوت الصواعق خوفًا من الموت، والله محيط بالكافرين لا يعجزونه.",او كصيب من السماء فيه ظلمات ورعد وبرق يجعلون اصابعهم في اذانهم من الصواعق حذر الموت والله محيط بالكافرين
26,2,20,يَكَادُ ٱلۡبَرۡقُ يَخۡطَفُ أَبۡصَٰرَهُمۡۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوۡاْ فِيهِ وَإِذَآ أَظۡلَمَ عَلَيۡهِمۡ قَامُواْۚ وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,"يكاد البرق من شدة لمعانه وسطوعه يأخذ أبصارهم، كلما ومض البرق لهم وأضاء تقدموا، وإذا لم يضئ بقوا في الظلام، فلم يستطيعوا التحرك، ولو شاء الله لذهب بسمعهم وأبصارهم بقدرته الشاملة لكل شيء؛ فلا تعود إليهم؛ لإعراضهم عن الحق. فكان المطر مثلًا للقرآن، وصوت الصواعق مثلًا لما فيه من الزواجر، وضوء البرق مثلًا لظهور الحق لهم أحيانًا، وجعل سد الآذان من شدة الصواعق، مثلًا لإعراضهم عن الحق وعدم الاستجابة له، ووجه الشبه بين المنافقين وأصحاب المَثَلَين؛ هو عدم الاستفادة، ففي المثل الناري: لم يستفد مستوقدها غير الظلام والإحراق، وفي المثل المائي: لم يستفد أصحاب المطر إلا ما يروِّعهم ويزعجهم من الرعد والبرق، وهكذا المنافقون لا يرون في الإسلام إلا الشدة والقسوة.",يكاد البرق يخطف ابصارهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصارهم ان الله على كل شيء قدير
27,2,21,يَـٰٓأَيُّهَا ٱلنَّاسُ ٱعۡبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمۡ وَٱلَّذِينَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ,"يا أيها الناس اعبدوا ربكم وحده دون سواه؛ لأنه الذي خلقكم وخلق الأمم السابقة لكم، رجاء أن تجعلوا بينكم وبين عذابه وقاية؛ بامتثال أوامره واجتناب نواهيه.",يا ايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
28,2,22,ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَٰشٗا وَٱلسَّمَآءَ بِنَآءٗ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءٗ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزۡقٗا لَّكُمۡۖ فَلَا تَجۡعَلُواْ لِلَّهِ أَندَادٗا وَأَنتُمۡ تَعۡلَمُونَ,"فهو الذي جعل لكم الأرض بساطًا ممهدًا، وجعل السماء من فوقها مُحكمة البنيان، وهو المنعم بإنزال المطر، فأنبت به مختلف الثمار من الأرض، لتكون رزقًا لكم، فلا تجعلوا لله شركاء وأمثالًا وأنتم تعلمون أنه لا خالق إلا الله عز وجل.",الذي جعل لكم الارض فراشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرات رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون
29,2,23,وَإِن كُنتُمۡ فِي رَيۡبٖ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُواْ بِسُورَةٖ مِّن مِّثۡلِهِۦ وَٱدۡعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَٰدِقِينَ,"وإن كنتم - يا أيها الناس - في شك من القرآن المُنزل على عبدنا محمد صلى الله عليه وسلم، فنتحداكم أن تعارضوه بالإتيان بسورة واحدة مماثلة له، ولو كانت أقصر سورة منه، ونادوا من استطعتم من أنصاركم إن كنتم صادقين فيما تدَّعونه.",وان كنتم في ريب مما نزلنا على عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صادقين
30,2,24,فَإِن لَّمۡ تَفۡعَلُواْ وَلَن تَفۡعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَٰفِرِينَ,"فإن لم تفعلوا ذلك - ولن تقدروا عليه أبدًا - فاتقوا النار التي توقد بالناس المستحقين للعذاب، وبأنواع الحجارة مما كانوا يعبدونه وغيرها، هذه النار قد أعدها الله وهيأها للكافرين.",فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة اعدت للكافرين
31,2,25,وَبَشِّرِ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّـٰلِحَٰتِ أَنَّ لَهُمۡ جَنَّـٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ كُلَّمَا رُزِقُواْ مِنۡهَا مِن ثَمَرَةٖ رِّزۡقٗا قَالُواْ هَٰذَا ٱلَّذِي رُزِقۡنَا مِن قَبۡلُۖ وَأُتُواْ بِهِۦ مُتَشَٰبِهٗاۖ وَلَهُمۡ فِيهَآ أَزۡوَٰجٞ مُّطَهَّرَةٞۖ وَهُمۡ فِيهَا خَٰلِدُونَ,"وإذا كان الوعيد السابق للكافرين؛ فبشِّر - أيها النبي - المؤمنين بالله الذين يعملون الصالحات؛ بما يسرُّهم من جنات تجري الأنهار من تحت قصورها وأشجارها، كلما أُطعموا من ثمارها الطيبة رزقًا؛ قالوا من شدة الشّبَهِ بثمار الدنيا: هذا مثل الثمار التي رزقنا من قبل، وقُدمت لهم ثمار متشابهة في شكلها واسمها حتى يُقْبِلُوا عليها بحكم المعرفة بها، ولكنها مختلفة في طعمها ومذاقها، ولهم في الجنة أزواج مبرَّأة من كل ما تنفر منه النفس، ويُسْتَقْذَر طبعًا مما يُتَصَوَّر في أهل الدنيا، وهم في نعيم دائم لا ينقطع، بخلاف نعيم الدنيا المنقطع.",وبشر الذين امنوا وعملوا الصالحات ان لهم جنات تجري من تحتها الانهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل واتوا به متشابها ولهم فيها ازواج مطهرة وهم فيها خالدون
32,2,26,۞إِنَّ ٱللَّهَ لَا يَسۡتَحۡيِۦٓ أَن يَضۡرِبَ مَثَلٗا مَّا بَعُوضَةٗ فَمَا فَوۡقَهَاۚ فَأَمَّا ٱلَّذِينَ ءَامَنُواْ فَيَعۡلَمُونَ أَنَّهُ ٱلۡحَقُّ مِن رَّبِّهِمۡۖ وَأَمَّا ٱلَّذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۘ يُضِلُّ بِهِۦ كَثِيرٗا وَيَهۡدِي بِهِۦ كَثِيرٗاۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلۡفَٰسِقِينَ,"إن الله سبحانه وتعالى لا يستحي من ضرب الأمثال بما شاء، فيضرب المثل بالبعوضة، فما فوقها في الكِبَر أو دونها في الصِّغَر، والناس أمام هذا نوعان: مؤمنون وكافرون، فأما المؤمنون فيصدقون ويعلمون أنّ من وراء ضرب المثل بها حكمة، وأما الكافرون فيتساءلون على سبيل الاستهزاء عن سبب ضرب الله الأمثال بهذه المخلوقات الحقيرة؛ كالبعوض، والذباب، والعنكبوت، وغيرها، فيأتي الجواب من الله: إن في هذه الأمثال هداياتٍ وتوجيهاتٍ واختبارًا للناس، فمنهم من يضلُّهم الله بهذه الأمثال لإعراضهم عن تدبرها، وهم كثير، ومنهم من يهديهم بسبب اتعاظهم بها، وهم كثير، ولا يضل إلا من كان مستحقًّا للضلال، وهم الخارجون عن طاعته؛ كالمنافقين.",ان الله لا يستحيي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين امنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفاسقين
33,2,27,ٱلَّذِينَ يَنقُضُونَ عَهۡدَ ٱللَّهِ مِنۢ بَعۡدِ مِيثَٰقِهِۦ وَيَقۡطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفۡسِدُونَ فِي ٱلۡأَرۡضِۚ أُوْلَـٰٓئِكَ هُمُ ٱلۡخَٰسِرُونَ,"الذين ينقضون عهد الله الذي أخذه عليهم بعبادته وحده واتباع رسوله الذي أخبرت به الرسل قبله، ويقطعون ما أمر الله بوصله كالأرحام، ويسعون لنشر الفساد في الأرض بالمعاصي، فهؤلاء هم الناقصة حظوظهم في الدنيا والآخرة.",الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض اولئك هم الخاسرون
34,2,28,كَيۡفَ تَكۡفُرُونَ بِٱللَّهِ وَكُنتُمۡ أَمۡوَٰتٗا فَأَحۡيَٰكُمۡۖ ثُمَّ يُمِيتُكُمۡ ثُمَّ يُحۡيِيكُمۡ ثُمَّ إِلَيۡهِ تُرۡجَعُونَ,"إن أمركم - أيها الكفار - لعجب! كيف تكفرون بالله، وأنتم تشاهدون دلائل قدرته في أنفسكم، فقد كنتم عدمًا لا شيء، فأنشأكم وأحياكم، ثم هو يميتكم الموتة الثانية، ثم يحييكم الحياة الثانية، ثم يرجعكم إليه ليحاسبكم على ما قدمتم.",كيف تكفرون بالله وكنتم امواتا فاحياكم ثم يميتكم ثم يحييكم ثم اليه ترجعون
35,2,29,هُوَ ٱلَّذِي خَلَقَ لَكُم مَّا فِي ٱلۡأَرۡضِ جَمِيعٗا ثُمَّ ٱسۡتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبۡعَ سَمَٰوَٰتٖۚ وَهُوَ بِكُلِّ شَيۡءٍ عَلِيمٞ,"والله وحده الذي خلق لكم جميع ما في الأرض من أنهار وأشجار وغير ذلك مما لا يُحْصَى عدده، وأنتم تنتفعون به وتستمتعون بما سخَّره لكم، ثم قصد إلى خلق السماء فخلقهن سبع سماوات مستويات، وهو الذي أحاط علمه بكل شيء.",هو الذي خلق لكم ما في الارض جميعا ثم استوى الى السماء فسواهن سبع سماوات وهو بكل شيء عليم
36,2,30,وَإِذۡ قَالَ رَبُّكَ لِلۡمَلَـٰٓئِكَةِ إِنِّي جَاعِلٞ فِي ٱلۡأَرۡضِ خَلِيفَةٗۖ قَالُوٓاْ أَتَجۡعَلُ فِيهَا مَن يُفۡسِدُ فِيهَا وَيَسۡفِكُ ٱلدِّمَآءَ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَكَۖ قَالَ إِنِّيٓ أَعۡلَمُ مَا لَا تَعۡلَمُونَ,"يخبر الله تعالى أنه سبحانه قال للملائكة: إنه سيجعل في الأرض بشرًا يخلُف بعضهم بعضًا، للقيام بعمارتها على طاعة الله، فسأل الملائكةُ ربَّهم - سؤال استرشاد واستفهام - عن الحكمة من جعل بني آدم خلفاء في الأرض، وهم سيفسدون فيها، ويريقون الدماء ظلمًا، قائلين: ونحن أهل طاعتك، نُنَزّهُك حامدين لك، ومعظّمين جلالك وكمالك، لا نفتُرُ عن ذلك، فأجابهم الله عن سؤالهم: إني أعلم ما لا تعلمون من الحِكَمِ الباهرة في خلقهم، والمقاصد العظيمة من استخلافهم.",واذ قال ربك للملائكة اني جاعل في الارض خليفة قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون
37,2,31,وَعَلَّمَ ءَادَمَ ٱلۡأَسۡمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى ٱلۡمَلَـٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِي بِأَسۡمَآءِ هَـٰٓؤُلَآءِ إِن كُنتُمۡ صَٰدِقِينَ,"ولبيان منزلة آدم عليه السلام علَّمه الله تعالى أسماء الأشياء كلها من الحيوان والجماد وغير ذلك؛ ألفاظها ومعانيها، ثم عرض تلك المسمَّيات على الملائكة قائلًا: أخبروني بأسمائها إن كنتم صادقين فيما تقولون: إنكم أكرم من هذا المخلوق وأفضل منه.",وعلم ادم الاسماء كلها ثم عرضهم على الملائكة فقال انبئوني باسماء هؤلاء ان كنتم صادقين
38,2,32,قَالُواْ سُبۡحَٰنَكَ لَا عِلۡمَ لَنَآ إِلَّا مَا عَلَّمۡتَنَآۖ إِنَّكَ أَنتَ ٱلۡعَلِيمُ ٱلۡحَكِيمُ,"قالوا - مُعْترِفين بنقصهم مُرْجِعين الفضل إلى الله -: نُنَزّهُك ونعظِّمك يا ربَّنا عن الاعتراض عليك في حُكمك وشرعك، فنحن لا نعلم شيئًا إلا ما رزقتنا علمه، إنك أنت العليم الذي لا يخفى عليك شيء، الحكيم الذي تضع الأمور في مواضعها من قدرك وشرعك.",قالوا سبحانك لا علم لنا الا ما علمتنا انك انت العليم الحكيم
39,2,33,قَالَ يَـٰٓـَٔادَمُ أَنۢبِئۡهُم بِأَسۡمَآئِهِمۡۖ فَلَمَّآ أَنۢبَأَهُم بِأَسۡمَآئِهِمۡ قَالَ أَلَمۡ أَقُل لَّكُمۡ إِنِّيٓ أَعۡلَمُ غَيۡبَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَأَعۡلَمُ مَا تُبۡدُونَ وَمَا كُنتُمۡ تَكۡتُمُونَ,"وعندئذ قال الله تعالى لآدم: أخبرهم بأسماء تلك المسمَّيات، فلما أخبرهم كما علَّمه ربه، قال الله للملائكة: ألم أقل لكم: إني أعلم ما خفي في السماوات وفي الأرض، وأعلم ما تُظْهرون من أحوالكم وما تحدِّثُون به أنفسكم.",قال يا ادم انبئهم باسمائهم فلما انباهم باسمائهم قال الم اقل لكم اني اعلم غيب السماوات والارض واعلم ما تبدون وما كنتم تكتمون
